"timestamp","age","gender","language","personality","extraversion_score","audio1_f0","audio2_f0","avg_f0","sd_f0s","avg_sd_f0","audio1_loudness","audio2_loudness","sd_loudness","audio1_duration","voiced1_duration","unvoiced1_duration","audio2_duration","voiced2_duration","unvoiced2_duration","avg_voiced_duration","avg_loudness","reading_duration1","reading_duration2","avg_read_duration","pauses_duration1","pauses_duration2","avg_pauses_duration","sd_pauses"
"22/06/02 02:48:08 PM OEZ",24,"female","german","introvert",3,244.353619154754,249.504024043075,246.928821598914,3.6418862223886,38.5676164532274,-26.1821102447464,-24.8496815943487,0.94216933414347,23.66,9.21832199546485,14.4416780045351,26.810022675737,9.28798185941043,17.5220408163265,9.25315192743764,-25.5158959195475,20.5496598639456,23.614693877551,22.0821768707483,11.3313378684807,14.3267120181406,12.8290249433107,2.11804937341538
"22/06/06 01:23:18 PM OEZ",30,"male","german","extravert",6,107.362873538044,107.555001784271,107.458937661157,0.135855185764731,26.6835715196769,-25.7040558840914,-25.5516852367741,0.107742317971797,21.910022675737,11.9582766439909,9.95174603174603,23.52,11.1455782312925,12.3744217687075,11.5519274376417,-25.6278705604327,20.5728798185941,22.3840362811791,21.4784580498866,8.61460317460317,11.2384580498866,9.9265306122449,1.85534557516231
"22/06/07 03:13:05 PM OEZ",22,"female","dutch","introvert",4,248.903242347616,249.484853737209,249.194048042413,0.411261357596567,35.7926018610121,-22.7864918358747,-22.5548636683297,0.163785847984851,22.92,9.45052154195011,13.4694784580499,22.02,7.77868480725624,14.2413151927438,8.61460317460317,-22.6706777521022,19.992380952381,20.0620408163265,20.0272108843537,10.5418594104308,12.2833560090703,11.4126077097506,1.23142405431126
"22/06/07 08:06:11 PM OEZ",24,"female","french","introvert",3,198.166015446533,199.188663776965,198.677339611749,0.723121569217361,25.1101156546743,-27.2415550669218,-26.1108538533486,0.799526495613438,16.26,6.43192743764172,9.82807256235828,18.84,9.14866213151927,9.69133786848073,7.7902947845805,-26.6762044601352,13.7462131519274,16.1146485260771,14.9304308390023,7.31428571428571,6.96598639455782,7.14013605442177,0.246284810862252
"22/06/07 08:12:24 PM OEZ",24,"female","spanish","extravert",6,215.587040100632,201.925869286584,208.756454693608,9.65990652156109,43.9017414462893,-21.9632661445805,-22.7942555654369,0.587598254581893,20.82,7.29106575963719,13.5289342403628,23.82,13.328253968254,10.491746031746,10.3096598639456,-22.3787608550087,17.6239455782313,20.2245804988662,18.9242630385488,10.3328798185941,6.89632653061225,8.61460317460318,2.4300101338409
"22/06/08 06:48:02 PM OEZ",21,"female","dutch","extravert",6,219.467121223458,219.140850522066,219.303985872762,0.230708225456687,28.8311260094518,-21.1073415439784,-21.2130730070167,0.0747634344991917,22.62,9.7059410430839,12.9140589569161,22.8,10.9598185941043,11.8401814058957,10.3328798185941,-21.1602072754975,20.921179138322,20.921179138322,20.921179138322,11.2152380952381,9.96136054421769,10.5882993197279,0.886625319104112
"22/06/08 11:06:16 AM OEZ",21,"male","english","extravert",7,134.254758230431,147.967752579477,141.111255404954,9.69655129458319,51.2623902742352,-22.8873567536344,-22.1458389885108,0.524332240089164,21.36,10.4257596371882,10.9342403628118,24.48,10.5186394557823,13.9613605442177,10.4721995464853,-22.5165978710726,18.3205442176871,21.4320181405896,19.8762811791383,7.89478458049887,10.9133786848073,9.40408163265306,2.13446836080619
"22/06/18 11:52:08 AM OEZ",23,"male","german","introvert",2,115.550566105146,124.584265162859,120.067415634002,6.38778986290768,44.1880691443767,-26.717072557189,-25.5289723868415,0.840113687181627,23.170022675737,10.5650793650794,12.6049433106576,25.410022675737,11.1920181405896,14.2180045351474,10.8785487528345,-26.1230224720152,20.2245804988662,23.2431746031746,21.7338775510204,9.65950113378685,12.051156462585,10.8553287981859,1.69115570125414
"22/06/19 10:05:49 PM OEZ",23,"female","german","extravert",6,203.874277274444,203.299538442959,203.586907858702,0.406401725154582,27.303145022542,-24.0740109274423,-24.1913826630422,0.0829943501622883,20.16,10.5650793650794,9.59492063492064,22.96,13.1889342403628,9.77106575963719,11.8770068027211,-24.1326967952423,18.1347845804989,20.8050793650794,19.4699319727891,7.5697052154195,7.61614512471655,7.59292517006803,0.0328379747816332
"22/06/19 11:09:17 PM OEZ",22,"male","german","introvert",2,113.35823834858,118.162710553184,115.760474450882,3.39727487589788,24.2418074808656,-24.294651396161,-23.7828281193942,0.361913709770894,18.2,10.4025396825397,7.79746031746032,19.950022675737,11.4706575963719,8.47936507936508,10.9365986394558,-24.0387397577776,14.6053514739229,17.0202267573696,15.8127891156463,4.20281179138322,5.54956916099773,4.87619047619047,0.952301268667378
"22/06/20 11:14:11 AM OEZ",21,"male","german","introvert",5,124.176065496224,128.973697598075,126.574881547149,3.3924381928571,29.5673323667558,-24.4874102683207,-22.9292437944338,1.10179007990301,23.730022675737,11.5867573696145,12.1432653061224,21.910022675737,11.7260770975057,10.1839455782313,11.6564172335601,-23.7083270313773,21.9892970521542,19.3654421768707,20.6773696145125,10.4025396825397,7.63936507936508,9.02095238095238,1.95385949950721
"22/07/04 02:31:56 PM OEZ",22,"female","german","introvert",0,209.579995729883,217.199020276672,213.389508003278,5.38746392306095,36.8726347331564,-29.1583910245198,-29.3541625495602,0.138431372919276,21.490022675737,12.0743764172336,9.4156462585034,22.12,10.9830385487528,11.1369614512472,11.5287074829932,-29.25627678704,18.9939229024943,19.9459410430839,19.4699319727891,6.91954648526077,8.96290249433106,7.94122448979592,1.44487089039189
