timestamp,audio_duration_s,reading_duration_s,voiced_speech_duration_s,unvoiced_speech_duration_s,avg_f0,sd_f0,loudness_dbLUFS,voiced_loudness_dbLUFS
22/07/13 01:42:54 PM OEZ,25.41002267573696,22.175056689342405,4.458231292517007,20.951791383219955,239.98685517302144,35.012918536825026,-27.797716161410435,-22.867045288505818
22/06/19 08:59:49 PM OEZ,21.91002267573696,19.365442176870747,11.72607709750567,10.183945578231292,128.97369759807458,31.771306788320473,-24.84037734689577,-22.92924379443377
22/06/19 08:55:49 PM OEZ,23.73002267573696,21.989297052154196,11.586757369614512,12.14326530612245,124.17606549622359,27.363357945191087,-26.798162781897577,-24.487410268320737
22/07/13 01:33:43 PM OEZ,25.9,22.128616780045352,11.609977324263038,14.29002267573696,118.58217116709126,29.936975726964885,-28.054822307823223,-25.715835525571023
22/06/16 02:09:49 PM OEZ,16.26,13.746213151927437,6.431927437641724,9.828072562358278,198.16601544653335,26.42638306902639,-29.401166621399693,-27.241555066921755
22/06/19 08:52:47 PM OEZ,20.16,18.134784580498867,10.565079365079365,9.594920634920635,203.87427727444424,25.26664645447256,-26.114389040901155,-24.074010927442334
22/06/16 03:26:35 PM OEZ,21.36,18.320544217687075,10.425759637188209,10.93424036281179,134.2547582304312,49.324021229028524,-24.317048154498984,-22.887356753634386
22/07/13 02:23:25 PM OEZ,28.490022675736963,26.145668934240362,15.998548752834466,12.491473922902497,178.4275369589266,52.12378193463378,-23.762424677894273,-22.151283348379714
22/07/13 01:29:34 PM OEZ,18.739092970521543,16.62548752834467,7.337505668934241,11.401587301587302,125.83002978012013,37.03561214679653,-27.020349518885716,-24.36428684270791
22/06/13 04:32:21 PM OEZ,26.81002267573696,23.61469387755102,9.287981859410431,17.52204081632653,249.5040240430753,38.65062596134494,-28.20629011925648,-24.849681594348684
22/07/13 01:42:23 PM OEZ,22.61002267573696,19.52798185941043,4.73687074829932,17.87315192743764,237.50547909721388,39.287959096663855,-27.33326131484034,-22.803461355435875
22/07/13 01:34:16 PM OEZ,24.150022675736963,20.712199546485262,7.801904761904762,16.3481179138322,139.58622811283948,51.67283526775947,-27.38560708973725,-23.821217297551087
22/06/18 11:37:14 AM OEZ,25.41002267573696,23.2431746031746,11.19201814058957,14.218004535147392,124.58426516285905,47.26068891827153,-27.776516985427413,-25.528972386841463
22/07/13 01:38:14 PM OEZ,23.8,20.17814058956916,9.102222222222222,14.697777777777778,136.99341450717873,57.85540906476625,-27.053548160213737,-24.298223483801223
22/07/04 02:36:43 PM OEZ,22.12,19.9459410430839,10.983038548752834,11.136961451247167,217.19902027667192,39.06407395662107,-31.494654967164585,-29.35416254956017
22/06/19 08:55:04 PM OEZ,19.95002267573696,17.020226757369613,11.470657596371883,8.479365079365078,118.16271055318393,26.67061624348366,-25.149136098711725,-23.782828119394225
22/07/13 02:32:00 PM OEZ,22.47002267573696,19.806621315192743,6.339047619047619,16.13097505668934,239.5980865883756,27.34610679104099,-29.139541813814233,-25.52136534488404
22/07/04 02:39:38 PM OEZ,25.27002267573696,23.034195011337868,16.23074829931973,9.039274376417232,208.96027154813422,26.488609275163025,-32.63312446831672,-31.277777687149634
22/06/14 04:33:54 PM OEZ,23.52,22.38403628117914,11.145578231292516,12.374421768707483,107.55500178427087,27.77992041892369,-27.81012034119736,-25.55168523677413
22/06/16 02:13:57 PM OEZ,23.82,20.224580498866214,13.328253968253968,10.491746031746032,201.9258692865842,43.35295229098046,-23.971265987707817,-22.794255565436938
22/06/13 04:31:53 PM OEZ,23.66,20.54965986394558,9.218321995464853,14.441678004535147,244.35361915475363,38.48460694510985,-29.012473316074487,-26.182110244746408
22/06/16 03:27:23 PM OEZ,24.48,21.43201814058957,10.518639455782314,13.961360544217687,147.96775257947715,53.200759319441936,-23.955160618809966,-22.145838988510825
22/06/16 02:10:28 PM OEZ,18.84,16.114648526077097,9.148662131519274,9.691337868480726,199.18866377696506,23.793848240322266,-27.698151484255867,-26.110853853348594
22/06/19 08:54:29 PM OEZ,18.2,14.605351473922903,10.402539682539683,7.797460317460317,113.35823834857976,21.81299871824757,-25.59104131869636,-24.294651396160983
22/07/13 02:31:17 PM OEZ,21.210022675736962,18.390204081632653,6.664126984126984,14.545895691609978,240.55720562109045,22.28709813119882,-27.02102031715586,-23.690105439946674
22/07/13 02:24:22 PM OEZ,27.44,25.402630385487527,15.232290249433106,12.207709750566895,185.98071975604788,52.37096583866612,-23.162128339169573,-21.488368852541097
22/06/16 04:00:22 PM OEZ,22.62,20.921179138321996,9.7059410430839,12.9140589569161,219.46712122345787,28.195823127395293,-23.002083421740448,-21.107341543978375
22/07/13 01:39:02 PM OEZ,25.718231292517007,23.637913832199548,9.380861678004536,16.337369614512472,132.92079265344415,41.81944537268837,-26.695948190806057,-23.536986990669156
22/07/04 02:35:40 PM OEZ,21.490022675736963,18.99392290249433,12.07437641723356,9.415646258503402,209.57999572988336,34.68119550969179,-30.836071984575373,-29.158391024519798
22/07/04 02:38:38 PM OEZ,18.06,16.87578231292517,12.394331065759637,5.665668934240362,198.8047295899446,34.46248728961947,-34.36030732414114,-33.43080554972775
22/06/16 02:12:58 PM OEZ,20.82,17.623945578231293,7.291065759637188,13.528934240362812,215.5870401006322,44.45053060159813,-23.985778728265934,-21.963266144580462
22/07/13 01:30:22 PM OEZ,21.7,17.949024943310658,9.404081632653062,12.295918367346937,133.80173251874785,45.67434978280194,-26.74802164490841,-24.341862892175914
